CD_UOR;CD_PRF;NM_UOR_RED;CD_SBDD;CD_MUN;SG_UF;CD_UOR_JRDT
d3b8cf8b9c797942fe68565e4ed2d8c3;d4dd111a4fd973394238aca5c05bebe3;888de0fd14472391e9f89a50a012bf3b;91;51770;MG;d9cf935700ac7b03669f834bfb06aba5
4a6762703f33302e6d1e65db02155a47;b6e32320fa6bc5a588b90183b95dc028;6c8e52e1a356bce868185b398fa3105a;0;51820;MG;d9cf935700ac7b03669f834bfb06aba5
421b0ea70ab7fd681ae63a8f12695199;b6e32320fa6bc5a588b90183b95dc028;ee4fa53aeacdd1067d2843c050c917ce;1;51820;MG;d9cf935700ac7b03669f834bfb06aba5
641e167f974d1dd076c0886d17271975;b6e32320fa6bc5a588b90183b95dc028;bc69c6d46a0e7624c52b4a09ca5e53ef;91;51820;MG;d9cf935700ac7b03669f834bfb06aba5
836082d549f4deda76377758afa279f6;1a3f91fead97497b1a96d6104ad339f6;3b420a7f2636bfa9133c09d1c024f98c;0;51840;PB;d9cf935700ac7b03669f834bfb06aba5
b983273d87ce44aec57595123cee4c62;1a3f91fead97497b1a96d6104ad339f6;f346b99d3ef3ca61794b1e7f173e2a01;91;51840;PB;d9cf935700ac7b03669f834bfb06aba5
793d8e745d2b346c4ddc27a534083243;90aef91f0d9e7c3be322bd7bae41617d;9db455270f2aaf2d55cccae06709b554;0;51980;BA;d9cf935700ac7b03669f834bfb06aba5
b32d54edfbef54504db682d7d6d5be8d;90aef91f0d9e7c3be322bd7bae41617d;733e60874917500310873c3b7689c062;91;51980;BA;d9cf935700ac7b03669f834bfb06aba5
d6c2e7c74cad027b49b4369a0548ddfb;3147da8ab4a0437c15ef51a5cc7f2dc4;934980791a529de57373141be7d0eed9;0;52140;PE;d9cf935700ac7b03669f834bfb06aba5
8c460674cd61bf189e62b4da4bd9d7c1;3147da8ab4a0437c15ef51a5cc7f2dc4;62e906637d1878206b5cba17cdf62395;91;52140;PE;d9cf935700ac7b03669f834bfb06aba5
263138a8b987787df892aaafe081a2d6;10907813b97e249163587e6246612e21;75ad1ffcf492bf32d8c5357f5ca0892a;0;52280;MG;d9cf935700ac7b03669f834bfb06aba5
7ef6026bb7039837b65084bb74f45c8c;10907813b97e249163587e6246612e21;d9e2902a9e10dc6cdb4b3d86cbacf2d2;91;52280;MG;d9cf935700ac7b03669f834bfb06aba5
2301a7bdda1dd4a4b0767fdbdfe911ce;758a06618c69880a6cee5314ee42d52f;2dd1bf1d00311d841476590ff2eb278e;0;52530;SP;d9cf935700ac7b03669f834bfb06aba5
