CD_MUN_UOR;Cod IBGE
60170;2609402
61480;2609501
63650;2609600
63980;2609709
64210;2609907
65050;2610004
65580;2610202
66830;2610400
67040;2610509
67710;2610707
67970;2610806
69320;2610905
69360;2611002
69380;2611101
72120;2611309
75190;2611507
75600;2611606
76520;2611804
78860;2612000
79040;2612208
79120;2612307
79460;2612406
79910;2612505
80670;2612604
81365;2612802
83215;2612901
83300;2613008
83460;2613107
84520;2613206
85260;2613305
85570;2613404
85440;2613503
85600;2613602
86140;2613701
87990;2613800
89450;2613909
89620;2614006
89700;2614105
90230;2614204
60120;2614303
91050;2614501
91220;2614600
91370;2614808
91610;2614857
92330;2615003
93500;2615300
94020;2615409
94730;2615607
94810;2615706
95180;2615805
95280;2615904
97700;2616001
98040;2616308
99050;2616407
3930;2700102
8650;2700300
10130;2700409
12330;2700607
13050;2700706
14920;2701001
18340;2701209
20060;2701407
20230;2701506
20890;2701605
26210;2702108
28310;2702306
28660;2702355
30410;2702405
33455;2702553
34180;2702603
36940;2702900
41500;2703106
41760;2703205
42680;2703304
49720;2703809
50640;2704005
51610;2704104
53320;2704203
54350;2704302
54840;2704401
55730;2704500
55940;2704609
56140;2704708
57470;2705101
60980;2705507
63170;2705606
63540;2705705
63760;2706000
64280;2706109
65200;2706307
65640;2706406
66695;2706422
67070;2706505
68800;2706703
69500;2706802
69820;2706901
70940;2707107
71920;2707206
72960;2707305
74840;2707602
77430;2707701
81650;2708006
85700;2708303
86020;2708402
86390;2708501
86710;2708600
87360;2708808
92230;2709103
92975;2709152
96200;2709301
98100;2709400
7980;2800209
8100;2800308
9110;2800407
16035;2800670
20160;2801009
21360;2801207
21750;2801306
22710;2801405
23030;2801504
28980;2801702
33250;2802106
35800;2802304
44200;2802908
44210;2803005
46260;2803203
48540;2803302
51500;2803500
54200;2803708
59130;2804102
61560;2804409
62000;2804508
61970;2804607
62110;2804805
71940;2805505
74500;2805703
76130;2805802
76830;2806008
83570;2806701
90080;2807105
93770;2807402
95970;2807600
3300;2900306
3630;2900355
4040;2900405
4750;2900702
4910;2900801
6350;2901007
6430;2901106
6470;2901155
6740;2901205
6970;2901353
7140;2901403
7390;2901601
8220;2902104
10870;2902500
10980;2902609
11467;2902658
11800;2902708
12000;2902807
11940;2902906
12160;2903003
12500;2903201
12750;2903235
13750;2903409
13760;2903508
14800;2903805
15460;2903904
15890;2904001
16040;2904100
16330;2904209
17080;2904605
17230;2904704
17490;2904753
17615;2904852
17980;2904902
18380;2905008
18450;2905206
18470;2905305
18840;2905404
19350;2905602
19370;2905701
19400;2905800
20090;2905909
20220;2906006
20930;2906204
21000;2906303
21020;2906402
21030;2906501
21080;2906600
21160;2906709
21550;2906824
21771;2906857
21855;2906873
22450;2906907
22550;2907004
22660;2907103
23420;2907202
23770;2907301
24160;2907509
24320;2907558
25330;2907806
25540;2907905
25800;2908002
25930;2908101
26500;2908200
26360;2908309
26480;2908408
26580;2908507
26860;2908606
26890;2908705
27810;2909208
28200;2909307
28830;2909604
29150;2909802
29830;2909901
30790;2910057
31200;2910107
32640;2910503
33200;2910602
33590;2910701
33650;2910727
34020;2910750
34200;2910800
34694;2910859
35280;2911105
36340;2911204
36800;2911303
37510;2911600
38230;2911709
38880;2911808
40030;2911907
40410;2912004
40450;2912103
40500;2912301
40600;2912509
40800;2912806
40850;2912905
40910;2913002
41220;2913200
41520;2913408
41820;2913507
42050;2913606
42620;2913705
43150;2913903
43180;2914000
43550;2914109
43820;2914406
43850;2914505
43950;2914604
44225;2914653
44250;2914703
44350;2914802
44390;2914901
44550;2915007
44565;2915205
45100;2915502
45150;2915601
45250;2915809
45410;2916005
45570;2916203
45800;2916401
45920;2916500
46100;2916609
46480;2916807
46870;2917003
46890;2917102
46980;2917300
47230;2917334
47500;2917409
47800;2917508
47960;2917607
48020;2917706
49200;2918001
49260;2918100
49360;2918209
49380;2918308
50200;2918407
50380;2918456
50983;2918506
51980;2918803
52460;2919157
52650;2919207
52950;2919306
53150;2919405
53500;2919504
53923;2919553
54190;2919603
54270;2919702
54320;2919801
54540;2919926
54750;2920106
54890;2920205
55440;2920452
55710;2920502
55740;2920601
57100;2921005
57680;2921104
58080;2921203
58670;2921401
59780;2921500
60320;2921708
60470;2921807
60690;2921906
60710;2922003
60800;2922102
61000;2922300
61110;2922409
61450;2922508
61880;2922656
62280;2922706
62860;2922904
62970;2923001
63710;2923209
66130;2923605
66570;2923704
66720;2923803
67750;2924009
69790;2924405
70070;2924603
71270;2924801
71600;2925006
71950;2925105
72050;2925204
72630;2925253
73320;2925303
73690;2925501
74090;2925600
74250;2925758
74900;2925808
75850;2926004
76090;2926103
76160;2926202
76140;2926301
76310;2926400
76510;2926608
77270;2926707
76980;2926806
77720;2927002
78700;2927200
79070;2927309
79300;2927408
79540;2927507
79890;2927705
81430;2928000
80800;2928109
81490;2928208
81880;2928307
80940;2928406
82100;2928604
82600;2928703
82970;2928802
83600;2928901
83611;2928950
83750;2929008
83763;2929057
83725;2929107
83960;2929206
84128;2929255
86750;2929404
87590;2929503
88080;2929602
88470;2929800
88500;2929909
88850;2930105
89405;2930154
88960;2930204
89270;2930303
89600;2930501
89650;2930600
90130;2930709
90461;2930774
91790;2931004
91810;2931053
91910;2931202
92815;2931350
92940;2931509
93160;2931707
94920;2931905
95530;2932002
95580;2932101
95600;2932200
95700;2932309
95880;2932408
96080;2932507
96310;2932606
96740;2932804
96900;2932903
96970;2933000
97340;2933158
97740;2933208
99000;2933307
99277;2933455
99300;2933505
99680;2933604
3060;3100203
3220;3100302
3890;3100609
4290;3100906
4500;3101102
5100;3101508
5200;3101607
5400;3101706
5480;3101904
5540;3102001
6060;3102308
6980;3102605
7040;3102803
7490;3102902
8300;3103405
8450;3103504
9130;3103900
9150;3104007
9210;3104106
9240;3104205
9260;3104304
9500;3104452
9520;3104502
10080;3104601
10180;3104700
11200;3105103
11520;3105400
11650;3105608
12940;3105905
13800;3106200
13830;3106309
13840;3106408
