Ranking IDHM 2010,Município,UF,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educação 2010
2759 º,MUCURICI,ES,0.666,0.617,0.828,0.577
2759 º,FAXINALZINHO,RS,0.666,0.646,0.801,0.571
2759 º,SAO JOSE DO GOIABAL,MG,0.666,0.657,0.814,0.553
2759 º,CRUZMALTINA,PR,0.666,0.65,0.768,0.593
2759 º,POJUCA,BA,0.666,0.645,0.819,0.559
2759 º,ICARAIMA,PR,0.666,0.673,0.792,0.554
2759 º,SENHOR DO BONFIM,BA,0.666,0.638,0.773,0.599
2759 º,IUNA,ES,0.666,0.665,0.829,0.537
2759 º,LINDOESTE,PR,0.666,0.652,0.769,0.588
2759 º,AMELIA RODRIGUES,BA,0.666,0.609,0.81,0.6
2759 º,TUCURUI,PA,0.666,0.675,0.8,0.548
2759 º,VARZEA DA PALMA,MG,0.666,0.634,0.814,0.573
2759 º,PAPAGAIOS,MG,0.666,0.65,0.833,0.545
2759 º,BODOQUENA,MS,0.666,0.665,0.776,0.573
2759 º,SALTO DO CEU,MT,0.666,0.661,0.797,0.56
2759 º,PORTO MURTINHO,MS,0.666,0.677,0.83,0.526
2759 º,BOM JESUS,RS,0.666,0.697,0.832,0.51
2776 º,BENEVIDES,PA,0.665,0.623,0.798,0.592
2776 º,MUCURI,BA,0.665,0.679,0.801,0.541
2776 º,CARLINDA,MT,0.665,0.656,0.809,0.553
2776 º,CASTANHEIRA,MT,0.665,0.671,0.8,0.547
2776 º,CENTRAL DE MINAS,MG,0.665,0.663,0.823,0.54
2776 º,CONCEICAO DO RIO VERDE,MG,0.665,0.675,0.834,0.522
2776 º,IRETAMA,PR,0.665,0.696,0.811,0.521
2776 º,IPABA,MG,0.665,0.63,0.829,0.562
2776 º,MIRABELA,MG,0.665,0.596,0.794,0.622
2776 º,UNIAO DO SUL,MT,0.665,0.665,0.797,0.556
2776 º,ABREULANDIA,TO,0.665,0.7,0.835,0.502
2776 º,SANTANA DO RIACHO,MG,0.665,0.641,0.834,0.551
2776 º,LARANJAL DO JARI,AP,0.665,0.641,0.801,0.573
2776 º,CORONEL BICACO,RS,0.665,0.667,0.803,0.55
2776 º,SAO GONCALO DO AMARANTE,CE,0.665,0.587,0.775,0.646
2776 º,IGARASSU,PE,0.665,0.622,0.781,0.606
2776 º,ALTAMIRA,PA,0.665,0.662,0.811,0.548
2776 º,MIMOSO DE GOIAS,GO,0.665,0.656,0.825,0.543
2776 º,MACAU,RN,0.665,0.65,0.792,0.572
2776 º,MUCAJAI,RR,0.665,0.661,0.813,0.547
2776 º,SANTA TEREZA DE GOIAS,GO,0.665,0.635,0.825,0.561
2776 º,SANTO ANTONIO DO DESCOBERTO,GO,0.665,0.647,0.818,0.556
2776 º,SAO CRISTOVAO DO SUL,SC,0.665,0.667,0.812,0.543
2776 º,PIMENTEIRAS DO OESTE,RO,0.665,0.662,0.816,0.545
2776 º,JEQUIE,BA,0.665,0.656,0.79,0.568
2776 º,QUEVEDOS,RS,0.665,0.667,0.824,0.534
2802 º,PRESIDENTE MEDICI,RO,0.664,0.671,0.792,0.55
2802 º,CHACARA,MG,0.664,0.65,0.878,0.512
2802 º,ITAPUCA,RS,0.664,0.709,0.834,0.495
2802 º,CATURAI,GO,0.664,0.665,0.815,0.54
2802 º,SAO BRAS DO SUACUI,MG,0.664,0.675,0.801,0.541
2802 º,RIBAS DO RIO PARDO,MS,0.664,0.681,0.83,0.519
2802 º,RIVERSUL,SP,0.664,0.634,0.799,0.577
2802 º,MOSTARDAS,RS,0.664,0.701,0.849,0.493
2802 º,URUANA DE MINAS,MG,0.664,0.612,0.793,0.602
2802 º,ALTO RIO NOVO,ES,0.664,0.634,0.815,0.567
2802 º,TIBAGI,PR,0.664,0.678,0.832,0.519
2802 º,SAO PEDRO DAS MISSOES,RS,0.664,0.644,0.804,0.566
2802 º,SERRA NOVA DOURADA,MT,0.664,0.638,0.819,0.56
2802 º,GARANHUNS,PE,0.664,0.662,0.795,0.556
2802 º,INIMUTABA,MG,0.664,0.625,0.81,0.579
2802 º,PAINEL,SC,0.664,0.668,0.808,0.543
2802 º,RIO DOCE,MG,0.664,0.644,0.801,0.567
2802 º,NOVO HORIZONTE DO NORTE,MT,0.664,0.652,0.82,0.548
2802 º,CRUZEIRO DO SUL,AC,0.664,0.648,0.776,0.582
2802 º,NOSSA SENHORA DO SOCORRO,SE,0.664,0.62,0.811,0.581
2802 º,SAO MIGUEL DO ARAGUAIA,GO,0.664,0.667,0.818,0.536
2802 º,MERCES,MG,0.664,0.683,0.831,0.515
2802 º,GROSSOS,RN,0.664,0.633,0.79,0.585
2802 º,JARAGUARI,MS,0.664,0.668,0.827,0.53
2802 º,SAO JOAO DO CAIUA,PR,0.664,0.678,0.785,0.551
2802 º,CRUZ MACHADO,PR,0.664,0.635,0.845,0.545
2828 º,ANASTACIO,MS,0.663,0.663,0.789,0.557
2828 º,FLORIANO PEIXOTO,RS,0.663,0.701,0.854,0.486
2828 º,VARGEM ALTA,ES,0.663,0.658,0.814,0.544
2828 º,CONCEICAO DO JACUIPE,BA,0.663,0.63,0.799,0.579
2828 º,ONCA DE PITANGUI,MG,0.663,0.646,0.806,0.559
2828 º,NOVA MARINGA,MT,0.663,0.702,0.815,0.509
2828 º,SANTA MARGARIDA DO SUL,RS,0.663,0.691,0.87,0.484
2828 º,ALIANCA DO TOCANTINS,TO,0.663,0.61,0.801,0.596
2828 º,SENGES,PR,0.663,0.658,0.811,0.546
2828 º,SAO FRANCISCO DO GLORIA,MG,0.663,0.647,0.833,0.541
2828 º,ARACUAI,MG,0.663,0.633,0.821,0.56
2828 º,NOVO MACHADO,RS,0.663,0.674,0.796,0.543
2828 º,LIMOEIRO,PE,0.663,0.628,0.797,0.583
2828 º,JARDIM DO SERIDO,RN,0.663,0.647,0.772,0.584
2828 º,MIRADOURO,MG,0.663,0.645,0.827,0.546
2828 º,ESPERA FELIZ,MG,0.663,0.663,0.846,0.52
2828 º,SAO JOSE DOS AUSENTES,RS,0.663,0.674,0.801,0.541
2828 º,AGUANIL,MG,0.663,0.672,0.845,0.513
2846 º,NOVA UNIAO,MG,0.662,0.624,0.818,0.568
2846 º,BARCARENA,PA,0.662,0.643,0.801,0.564
2846 º,CARIRI DO TOCANTINS,TO,0.662,0.639,0.826,0.549
2846 º,SAO JOAQUIM DE BICAS,MG,0.662,0.664,0.844,0.518
2846 º,MACIEIRA,SC,0.662,0.675,0.806,0.533
2846 º,SANTA TEREZA DO TOCANTINS,TO,0.662,0.618,0.817,0.575
2846 º,JAU DO TOCANTINS,TO,0.662,0.672,0.815,0.529
2846 º,TRES FORQUILHAS,RS,0.662,0.661,0.813,0.539
2846 º,SAO CRISTOVAO,SE,0.662,0.624,0.8,0.581
2846 º,SAO TIAGO,MG,0.662,0.66,0.825,0.533
2846 º,ROSARIO DO IVAI,PR,0.662,0.638,0.788,0.577
2846 º,NAZARE DA MATA,PE,0.662,0.608,0.789,0.604
2846 º,ECOPORANGA,ES,0.662,0.631,0.819,0.562
2846 º,VILA NOVA DO SUL,RS,0.662,0.645,0.827,0.544
2846 º,CONSELHEIRO PENA,MG,0.662,0.646,0.837,0.537
2846 º,JURUENA,MT,0.662,0.647,0.797,0.563
2846 º,SOORETAMA,ES,0.662,0.65,0.802,0.556
2846 º,MATO VERDE,MG,0.662,0.604,0.789,0.61
2846 º,MIRANORTE,TO,0.662,0.633,0.804,0.571
2846 º,IGUATEMI,MS,0.662,0.671,0.817,0.53
2846 º,ROSARIO DA LIMEIRA,MG,0.662,0.653,0.812,0.548
2846 º,JACUIZINHO,RS,0.662,0.73,0.817,0.487
2846 º,BARRA DO QUARAI,RS,0.662,0.659,0.802,0.548
2846 º,CACIQUE DOBLE,RS,0.662,0.677,0.81,0.528
2870 º,FONTOURA XAVIER,RS,0.661,0.668,0.812,0.532
2870 º,RIOZINHO,RS,0.661,0.69,0.885,0.472
2870 º,TERESINA DE GOIAS,GO,0.661,0.626,0.817,0.564
2870 º,ESPERANCA DO SUL,RS,0.661,0.665,0.788,0.55
2870 º,PANTANO GRANDE,RS,0.661,0.676,0.816,0.524
2870 º,SAO GONCALO DO AMARANTE,RN,0.661,0.619,0.829,0.564
2870 º,SAO RAIMUNDO NONATO,PI,0.661,0.631,0.779,0.587
2870 º,NOVA ROSALANDIA,TO,0.661,0.582,0.791,0.628
2870 º,ALTO CAPARAO,MG,0.661,0.666,0.842,0.514
2870 º,ITAPIRAPUA PAULISTA,SP,0.661,0.595,0.816,0.594
2870 º,ARACITABA,MG,0.661,0.608,0.823,0.577
2870 º,BRUNOPOLIS,SC,0.661,0.646,0.819,0.545
2870 º,LAJINHA,MG,0.661,0.659,0.81,0.541
2870 º,PAU D'ARCO,TO,0.661,0.621,0.792,0.587
2870 º,BOM JESUS DO ARAGUAIA,MT,0.661,0.665,0.784,0.555
2870 º,CAPELA DE SANTANA,RS,0.661,0.675,0.816,0.525
2870 º,SAO JOSE DO POVO,MT,0.661,0.63,0.793,0.577
2870 º,INDIAVAI,MT,0.661,0.645,0.841,0.533
2870 º,JECEABA,MG,0.661,0.629,0.844,0.544
2870 º,ACU,RN,0.661,0.641,0.795,0.568
2870 º,SERRA TALHADA,PE,0.661,0.632,0.8,0.571
2870 º,DIVINO DAS LARANJEIRAS,MG,0.661,0.624,0.811,0.571
2870 º,CERRO BRANCO,RS,0.661,0.671,0.816,0.527
2870 º,PROPRIA,SE,0.661,0.629,0.776,0.593
2870 º,CAMPO LIMPO DE GOIAS,GO,0.661,0.654,0.829,0.533
2870 º,TOLEDO,MG,0.661,0.66,0.802,0.546
2870 º,PINHEIRO MACHADO,RS,0.661,0.685,0.846,0.499
2870 º,SENADOR AMARAL,MG,0.661,0.623,0.821,0.564
2898 º,ALVORADA DO NORTE,GO,0.66,0.64,0.819,0.548
2898 º,IMBITUVA,PR,0.66,0.681,0.828,0.509
2898 º,AGUDOS DO SUL,PR,0.66,0.671,0.79,0.543
2898 º,SATUBA,AL,0.66,0.619,0.794,0.585
2898 º,FIGUEIRAO,MS,0.66,0.677,0.83,0.511
2898 º,CERRO GRANDE DO SUL,RS,0.66,0.673,0.855,0.499
2898 º,EXTREMOZ,RN,0.66,0.64,0.808,0.555
2898 º,BOM SUCESSO DE ITARARE,SP,0.66,0.605,0.775,0.613
2898 º,MURITIBA,BA,0.66,0.629,0.796,0.573
2898 º,PALMAS,PR,0.66,0.687,0.827,0.505
2898 º,CORDISLANDIA,MG,0.66,0.654,0.807,0.544
2898 º,SERITINGA,MG,0.66,0.657,0.853,0.512
2898 º,CRISTAL DO SUL,RS,0.66,0.641,0.826,0.542
2898 º,SAO SEBASTIAO DA VARGEM ALEGRE,MG,0.66,0.631,0.827,0.552
2898 º,BARRA DO CHAPEU,SP,0.66,0.617,0.779,0.599
2898 º,BOM JARDIM,RJ,0.66,0.707,0.809,0.503
2898 º,ALTO JEQUITIBA,MG,0.66,0.66,0.787,0.554
2898 º,IPUACU,SC,0.66,0.674,0.79,0.54
2898 º,SAO FRANCISCO DE PAULA,MG,0.66,0.66,0.812,0.537
2898 º,AVELINOPOLIS,GO,0.66,0.682,0.828,0.508
2898 º,COCALINHO,MT,0.66,0.674,0.807,0.528
2898 º,LAVANDEIRA,TO,0.66,0.598,0.775,0.62
2898 º,SAO JOSE DO VALE DO RIO PRETO,RJ,0.66,0.67,0.806,0.533
2898 º,SAO PEDRO DA CIPA,MT,0.66,0.654,0.79,0.556
2898 º,BELMIRO BRAGA,MG,0.66,0.653,0.83,0.531
2898 º,BOM JESUS DO TOCANTINS,TO,0.66,0.621,0.833,0.555
2924 º,SAO PEDRO DOS FERROS,MG,0.659,0.631,0.789,0.576
2924 º,SEGREDO,RS,0.659,0.673,0.811,0.525
2924 º,DUAS BARRAS,RJ,0.659,0.677,0.79,0.534
2924 º,TIMBO GRANDE,SC,0.659,0.634,0.798,0.565
2924 º,MARANGUAPE,CE,0.659,0.587,0.788,0.618
2924 º,MONTE AZUL,MG,0.659,0.611,0.811,0.578
2924 º,JAGUARARI,BA,0.659,0.644,0.806,0.551
2924 º,FORTALEZA DO TABOCAO,TO,0.659,0.616,0.808,0.575
2924 º,GAMELEIRA DE GOIAS,GO,0.659,0.692,0.828,0.499
2924 º,TUCUMA,PA,0.659,0.67,0.813,0.525
2924 º,LEOPOLDO DE BULHOES,GO,0.659,0.665,0.812,0.529
2924 º,JAPERI,RJ,0.659,0.637,0.809,0.555
2924 º,ESTREITO,MA,0.659,0.666,0.8,0.536
2924 º,PASSOS MAIA,SC,0.659,0.648,0.808,0.547
2924 º,QUIXADA,CE,0.659,0.592,0.775,0.624
2924 º,CARNAUBA DOS DANTAS,RN,0.659,0.624,0.796,0.577
2924 º,VARRE-SAI,RJ,0.659,0.636,0.81,0.555
2924 º,SANTA ISABEL DO PARA,PA,0.659,0.622,0.798,0.576
2924 º,COUTO DE MAGALHAES DE MINAS,MG,0.659,0.6,0.807,0.592
2924 º,POSSE,GO,0.659,0.659,0.819,0.53
2924 º,SANDOLANDIA,TO,0.659,0.626,0.791,0.578
2924 º,PACAJUS,CE,0.659,0.609,0.788,0.596
2946 º,PIRATINI,RS,0.658,0.672,0.821,0.517
2946 º,BUENO BRANDAO,MG,0.658,0.662,0.848,0.507
2946 º,PARINTINS,AM,0.658,0.589,0.8,0.605
2946 º,NOVO PLANALTO,GO,0.658,0.623,0.831,0.55
2946 º,INHAPIM,MG,0.658,0.642,0.829,0.535
2946 º,JESUANIA,MG,0.658,0.675,0.831,0.507
2946 º,OIAPOQUE,AP,0.658,0.693,0.779,0.527
2946 º,NOVA CANTU,PR,0.658,0.646,0.792,0.558
2946 º,JANUARIA,MG,0.658,0.611,0.82,0.568
2946 º,MINDURI,MG,0.658,0.631,0.805,0.56
2946 º,GRANDES RIOS,PR,0.658,0.649,0.799,0.55
2946 º,COLINAS DO SUL,GO,0.658,0.633,0.82,0.549
2946 º,CASEARA,TO,0.658,0.647,0.825,0.534
2946 º,SAO JOSE DO DIVINO,MG,0.658,0.627,0.778,0.583
2946 º,HORIZONTE,CE,0.658,0.594,0.788,0.61
2946 º,TERENOS,MS,0.658,0.651,0.839,0.521
2946 º,CASTANHEIRAS,RO,0.658,0.65,0.803,0.547
2946 º,JABOTICABA,RS,0.658,0.636,0.82,0.547
2964 º,SANTO HIPOLITO,MG,0.657,0.641,0.824,0.536
2964 º,TUNAS,RS,0.657,0.659,0.794,0.541
2964 º,MATOS COSTA,SC,0.657,0.63,0.831,0.541
2964 º,ENCRUZILHADA DO SUL,RS,0.657,0.677,0.875,0.478
2964 º,REDENCAO DA SERRA,SP,0.657,0.633,0.799,0.56
2964 º,TIANGUA,CE,0.657,0.628,0.768,0.587
2964 º,MANTENOPOLIS,ES,0.657,0.636,0.81,0.551
2964 º,PRESIDENTE KENNEDY,ES,0.657,0.636,0.808,0.553
2964 º,SAO SEBASTIAO DO PASSE,BA,0.657,0.633,0.812,0.551
2964 º,SAO JOSE DO XINGU,MT,0.657,0.703,0.828,0.487
2964 º,AFOGADOS DA INGAZEIRA,PE,0.657,0.623,0.807,0.565
2964 º,MARLIERIA,MG,0.657,0.629,0.838,0.537
2964 º,IBERTIOGA,MG,0.657,0.606,0.834,0.56
2964 º,ITACURUBI,RS,0.657,0.692,0.804,0.509
2964 º,ENTRE RIOS,SC,0.657,0.638,0.808,0.55
2964 º,HELIODORA,MG,0.657,0.656,0.822,0.527
2964 º,ARROIO GRANDE,RS,0.657,0.673,0.807,0.522
2964 º,AGUIARNOPOLIS,TO,0.657,0.618,0.804,0.571
2964 º,GUAJARA-MIRIM,RO,0.657,0.663,0.823,0.519
2964 º,SAO JOSE DO MANTIMENTO,MG,0.657,0.612,0.823,0.562
2964 º,COCALZINHO DE GOIAS,GO,0.657,0.648,0.826,0.531
2964 º,DIVINESIA,MG,0.657,0.645,0.785,0.559
2986 º,CORDISBURGO,MG,0.656,0.644,0.786,0.558
2986 º,VALE DE SAO DOMINGOS,MT,0.656,0.658,0.765,0.56
2986 º,PESCADOR,MG,0.656,0.615,0.831,0.552
2986 º,MESQUITA,MG,0.656,0.638,0.796,0.555
2986 º,SANTO ANTONIO DO LEVERGER,MT,0.656,0.651,0.806,0.539
2986 º,RIO DOS INDIOS,RS,0.656,0.645,0.804,0.545
2986 º,FERREIRA GOMES,AP,0.656,0.635,0.82,0.542
2986 º,ITAICABA,CE,0.656,0.581,0.758,0.642
2986 º,ITAUNA DO SUL,PR,0.656,0.651,0.798,0.543
2986 º,PLANALTO DA SERRA,MT,0.656,0.615,0.813,0.565
2986 º,SERRO,MG,0.656,0.65,0.834,0.52
2986 º,BREJETUBA,ES,0.656,0.63,0.828,0.54
2986 º,LARANJA DA TERRA,ES,0.656,0.633,0.81,0.55
2986 º,CURIUVA,PR,0.656,0.649,0.795,0.546
2986 º,BRASILIA DE MINAS,MG,0.656,0.612,0.813,0.568
2986 º,BRUMADO,BA,0.656,0.63,0.807,0.554
2986 º,AUGUSTO DE LIMA,MG,0.656,0.622,0.815,0.557
2986 º,ARINOS,MG,0.656,0.607,0.815,0.57
2986 º,ANTONIO OLINTO,PR,0.656,0.626,0.825,0.547
2986 º,MATA,RS,0.656,0.66,0.807,0.529
2986 º,TAVARES,RS,0.656,0.692,0.828,0.492
2986 º,CAMPO MAIOR,PI,0.656,0.629,0.793,0.566
3008 º,PEDRA DOURADA,MG,0.655,0.631,0.827,0.539
3008 º,CHALE,MG,0.655,0.636,0.787,0.561
3008 º,MANOEL VIANA,RS,0.655,0.686,0.766,0.534
3008 º,NOVA IGUACU DE GOIAS,GO,0.655,0.642,0.812,0.54
3008 º,VITORIA DAS MISSOES,RS,0.655,0.659,0.809,0.526
3008 º,SAO JOAO DO SABUGI,RN,0.655,0.62,0.779,0.581
3008 º,NATIVIDADE DA SERRA,SP,0.655,0.664,0.814,0.52
3008 º,LAMIM,MG,0.655,0.623,0.828,0.546
3008 º,ARACATI,CE,0.655,0.607,0.742,0.624
3008 º,SAPOPEMA,PR,0.655,0.695,0.795,0.509
3008 º,CAPANEMA,PA,0.655,0.61,0.794,0.58
3008 º,RAUL SOARES,MG,0.655,0.658,0.823,0.52
3008 º,ENGENHEIRO NAVARRO,MG,0.655,0.599,0.791,0.594
3008 º,TESOURO,MT,0.655,0.635,0.791,0.56
3008 º,BALIZA,GO,0.655,0.614,0.819,0.558
3008 º,BOA VENTURA DE SAO ROQUE,PR,0.655,0.635,0.802,0.553
3008 º,CARMO DA CACHOEIRA,MG,0.655,0.672,0.801,0.523
3008 º,BELO VALE,MG,0.655,0.672,0.814,0.514
3008 º,FUNILANDIA,MG,0.655,0.612,0.844,0.545
3008 º,MANDIRITUBA,PR,0.655,0.677,0.807,0.515
3008 º,SAO JOAO DA BALIZA,RR,0.655,0.614,0.78,0.587
3008 º,SANTO ANTONIO DO LESTE,MT,0.655,0.658,0.853,0.501
3030 º,ITAPEMIRIM,ES,0.654,0.64,0.808,0.54
3030 º,DORES DO RIO PRETO,ES,0.654,0.635,0.813,0.542
3030 º,SEM-PEIXE,MG,0.654,0.623,0.826,0.543
3030 º,SALTINHO,SC,0.654,0.639,0.795,0.551
3030 º,GALILEIA,MG,0.654,0.645,0.795,0.546
3030 º,NOVA VICOSA,BA,0.654,0.657,0.78,0.546
3030 º,PORTELANDIA,GO,0.654,0.68,0.803,0.513
3030 º,FRANCISCO SA,MG,0.654,0.605,0.808,0.572
3030 º,PINHAO,PR,0.654,0.649,0.806,0.534
3030 º,ITAPIRANGA,AM,0.654,0.594,0.792,0.594
3030 º,SANTA CRUZ CABRALIA,BA,0.654,0.624,0.784,0.571
3030 º,RAFAEL GODEIRO,RN,0.654,0.583,0.789,0.607
3030 º,TALISMA,TO,0.654,0.654,0.801,0.535
3030 º,SAO JOAO DO JAGUARIBE,CE,0.654,0.62,0.784,0.576
3030 º,DEZESSEIS DE NOVEMBRO,RS,0.654,0.625,0.809,0.553
3030 º,ITAPORA,MS,0.654,0.66,0.809,0.523
3030 º,ABRE CAMPO,MG,0.654,0.646,0.823,0.525
3030 º,CAMPOS VERDES,GO,0.654,0.608,0.796,0.577
3030 º,CAPAO ALTO,SC,0.654,0.68,0.796,0.516
3030 º,TANGUA,RJ,0.654,0.644,0.793,0.548
3030 º,SILVA JARDIM,RJ,0.654,0.657,0.793,0.536
3030 º,CRUZETA,RN,0.654,0.602,0.748,0.621
3030 º,IAPU,MG,0.654,0.639,0.819,0.535
3030 º,PEDRO CANARIO,ES,0.654,0.643,0.812,0.536
3030 º,DAMIANOPOLIS,GO,0.654,0.614,0.815,0.558
3055 º,EPITACIOLANDIA,AC,0.653,0.654,0.771,0.553
3055 º,PRESIDENTE DUTRA,MA,0.653,0.628,0.788,0.563
3055 º,CAMPESTRE DE GOIAS,GO,0.653,0.628,0.799,0.556
3055 º,TROMBAS,GO,0.653,0.628,0.812,0.547
3055 º,RIO RUFINO,SC,0.653,0.652,0.806,0.53
3055 º,SANTA AMELIA,PR,0.653,0.655,0.809,0.526
3055 º,ITABIRINHA,MG,0.653,0.625,0.838,0.531
3055 º,ILHA DE ITAMARACA,PE,0.653,0.627,0.809,0.548
3055 º,SAO LOURENCO DA MATA,PE,0.653,0.614,0.793,0.571
3055 º,RITAPOLIS,MG,0.653,0.649,0.815,0.526
3055 º,NOVO SANTO ANTONIO,MT,0.653,0.64,0.829,0.526
3055 º,BOM REPOUSO,MG,0.653,0.647,0.821,0.523
3055 º,CAPELINHA,MG,0.653,0.641,0.824,0.527
3055 º,DIVINOPOLIS DE GOIAS,GO,0.653,0.624,0.813,0.55
3055 º,SAO JOAO DA MATA,MG,0.653,0.676,0.822,0.501
3070 º,SAO JOSE DE UBA,RJ,0.652,0.633,0.798,0.548
3070 º,SAO MARTINHO DA SERRA,RS,0.652,0.659,0.848,0.496
3070 º,POCONE,MT,0.652,0.643,0.806,0.534
3070 º,JIJOCA DE JERICOACOARA,CE,0.652,0.614,0.723,0.625
3070 º,CARAA,RS,0.652,0.661,0.83,0.505
3070 º,GUARARA,MG,0.652,0.65,0.802,0.532
3070 º,IPIRANGA,PR,0.652,0.684,0.828,0.489
3070 º,IRACEMA,CE,0.652,0.597,0.733,0.632
3070 º,MORENO,PE,0.652,0.61,0.805,0.564
3070 º,CASA GRANDE,MG,0.652,0.608,0.823,0.555
3070 º,MAUA DA SERRA,PR,0.652,0.661,0.793,0.529
3070 º,GUARINOS,GO,0.652,0.604,0.815,0.563
3070 º,PORTO ESPERIDIAO,MT,0.652,0.666,0.795,0.523
3070 º,CAMPESTRE DO MARANHAO,MA,0.652,0.611,0.774,0.586
3070 º,SERIO,RS,0.652,0.695,0.847,0.471
3070 º,IBARAMA,RS,0.652,0.686,0.792,0.511
3070 º,SILVEIRANIA,MG,0.652,0.645,0.841,0.511
3070 º,AGUA DOCE DO NORTE,ES,0.652,0.619,0.819,0.546
3070 º,CHUPINGUAIA,RO,0.652,0.659,0.82,0.514
3070 º,GENERAL CARNEIRO,PR,0.652,0.638,0.816,0.532
3090 º,ALTO BOA VISTA,MT,0.651,0.613,0.803,0.561
3090 º,VIRGINIA,MG,0.651,0.635,0.829,0.523
3090 º,PORTEIRINHA,MG,0.651,0.593,0.796,0.585
3090 º,ARRAIAS,TO,0.651,0.636,0.829,0.523
3090 º,SERRA DOS AIMORES,MG,0.651,0.653,0.784,0.539
3090 º,CRUCILANDIA,MG,0.651,0.653,0.816,0.518
3090 º,PERIQUITO,MG,0.651,0.593,0.839,0.555
3090 º,GOIANA,PE,0.651,0.614,0.779,0.576
3090 º,SAO FRANCISCO DE GOIAS,GO,0.651,0.658,0.825,0.509
3090 º,NOVA CAMPINA,SP,0.651,0.598,0.799,0.577
3090 º,NOVA BRASILANDIA,MT,0.651,0.673,0.845,0.485
3090 º,PADRE BERNARDO,GO,0.651,0.67,0.801,0.515
3090 º,IVAI,PR,0.651,0.654,0.791,0.534
3090 º,SANTANA DO DESERTO,MG,0.651,0.66,0.849,0.493
3090 º,ROCHEDO,MS,0.651,0.676,0.83,0.491
3090 º,TAQUARACU DE MINAS,MG,0.651,0.643,0.818,0.525
3090 º,BACABAL,MA,0.651,0.619,0.753,0.591
3090 º,SAO GERALDO,MG,0.651,0.656,0.831,0.507
3090 º,APARECIDA DO RIO NEGRO,TO,0.651,0.593,0.791,0.588
3090 º,NOVA TEBAS,PR,0.651,0.632,0.788,0.553
3090 º,TAQUARUSSU,MS,0.651,0.657,0.769,0.545
3090 º,JATI,CE,0.651,0.562,0.776,0.634
3090 º,SAO JOSE DAS MISSOES,RS,0.651,0.652,0.782,0.542
3090 º,IGARATINGA,MG,0.651,0.682,0.842,0.481
3090 º,SANTA RITA DO TOCANTINS,TO,0.651,0.63,0.83,0.527
3115 º,CARMESIA,MG,0.65,0.631,0.805,0.54
3115 º,GAMELEIRAS,MG,0.65,0.559,0.796,0.618
3115 º,CABIXI,RO,0.65,0.65,0.757,0.559
3115 º,SAO JOAO DO MANHUACU,MG,0.65,0.659,0.836,0.498
3115 º,ITANHOMI,MG,0.65,0.656,0.831,0.503
3115 º,NOVA BANDEIRANTES,MT,0.65,0.696,0.842,0.469
3115 º,PINHAL DA SERRA,RS,0.65,0.641,0.835,0.513
3115 º,VENTANIA,PR,0.65,0.633,0.798,0.543
3115 º,FAINA,GO,0.65,0.644,0.799,0.534
3115 º,CANA VERDE,MG,0.65,0.652,0.821,0.512
3115 º,CANGUCU,RS,0.65,0.683,0.819,0.491
3115 º,PIUM,TO,0.65,0.633,0.822,0.527
3115 º,ROSARIO OESTE,MT,0.65,0.653,0.807,0.52
3115 º,RIO CASCA,MG,0.65,0.651,0.813,0.519
3115 º,GUADALUPE,PI,0.65,0.639,0.794,0.542
3115 º,BARROS CASSAL,RS,0.65,0.69,0.795,0.5
3115 º,MARMELOPOLIS,MG,0.65,0.615,0.806,0.553
3115 º,PACARAIMA,RR,0.65,0.624,0.788,0.558
3115 º,MONTE ALEGRE DOS CAMPOS,RS,0.65,0.667,0.822,0.501
3115 º,MONJOLOS,MG,0.65,0.612,0.819,0.548
3115 º,ITAPORA DO TOCANTINS,TO,0.65,0.613,0.842,0.531
3136 º,SAO LUIZ,RR,0.649,0.605,0.788,0.574
3136 º,CANAA,MG,0.649,0.644,0.798,0.532
3136 º,JESUPOLIS,GO,0.649,0.642,0.814,0.522
3136 º,BOA VISTA,PB,0.649,0.59,0.796,0.582
3136 º,BARAO DE MONTE ALTO,MG,0.649,0.619,0.827,0.533
3136 º,CANDEIAS DO JAMARI,RO,0.649,0.652,0.819,0.512
3136 º,CERRITO,RS,0.649,0.657,0.824,0.504
3136 º,ARAPIRACA,AL,0.649,0.638,0.78,0.549
3136 º,BAYEUX,PB,0.649,0.619,0.779,0.566
3136 º,ALAGOA,MG,0.649,0.634,0.832,0.518
3136 º,BARRA DOS COQUEIROS,SE,0.649,0.647,0.776,0.545
3136 º,JACOBINA,BA,0.649,0.636,0.772,0.558
3136 º,SAO FELIPE D'OESTE,RO,0.649,0.615,0.78,0.571
3136 º,MAMPITUBA,RS,0.649,0.65,0.813,0.517
3136 º,NOVO HORIZONTE DO SUL,MS,0.649,0.656,0.798,0.523
3136 º,LEBON REGIS,SC,0.649,0.632,0.806,0.537
3136 º,NOVO SAO JOAQUIM,MT,0.649,0.658,0.819,0.507
3136 º,PEIXOTO DE AZEVEDO,MT,0.649,0.691,0.761,0.521
3136 º,TIMON,MA,0.649,0.614,0.768,0.579
3136 º,UNISTALDA,RS,0.649,0.626,0.804,0.542
3156 º,SANTA CRUZ DO CAPIBARIBE,PE,0.648,0.667,0.806,0.506
3156 º,CARLOS CHAGAS,MG,0.648,0.641,0.826,0.513
3156 º,MORRO DA GARCA,MG,0.648,0.619,0.816,0.538
