CODIGO;FUNCAO;GFM
16160;GER AREA UA;9
16161;GER AREA UA;9
16163;GER AREA UA;9
16165;GER AREA UA;9
16167;GER AREA UA;9
16168;GER AREA UA;11
16169;GER AREA UA;11
16171;GER AREA UA;9
16172;GER AREA UA;9
16174;GER AREA UA;11
16176;GER AREA UA;11
16179;GER AREA UA;11
16180;GER AREA UA;13
16181;GER AREA UA;13
16182;GER AREA UA;13
16183;GER AREA UA;13
16184;GER AREA UA;13
16185;GER AREA UA;11
16186;GER AREA UA;13
16188;GER AREA UA;13
16189;GER AREA UA;13
16190;GER AREA UA;13
16200;GER AREA UJA;6
16201;GER AREA UJA;6
16202;GER AREA UJA;6
16203;GER AREA UJA;6
16204;GER AREA UJA;8
16205;GER AREA UJA;8
16206;GER AREA UJA;8
16220;GER SEGMENTO UA;9
16221;GER SEGMENTO UA;9
16222;GER SEGMENTO UA;9
16223;GER SEGMENTO UA;11
16224;GER SEGMENTO UA;9
16225;GER SEGMENTO UA;11
16226;GER SEGMENTO UA;11
16227;GER SEGMENTO UA;11
16228;GER SEGMENTO UA;13
16229;GER SEGMENTO UA;11
16230;GER SEGMENTO UA;13
16231;GER SEGMENTO UA;13
16232;GER SEGMENTO UA;13
16233;GER SEGMENTO UA;13
16234;GER SEGMENTO UA;13
16235;GER SEGMENTO UA;15
16250;GER NEG INTERN UA;16
16260;GER SETOR UA;15
16261;GER SETOR UA;16
16262;GER SETOR UA;16
16270;SUPERVISOR JUR UA;11
16271;SUPERVISOR JUR UA;13
16280;GER GRUPO UA;17
16285;ASS. AGRONEG I UA;16
16290;GER MODULO UA;18
16300;ASS. ENG ARQ I UA;16
16310;ASS. JURIDICO I UA;16
16320;ASS. REL. TRAB UA;16
16321;ASS. GESTAO E PESSOAS UA;16
16322;ASS. REL. TRAB UA;16
16323;ASS. GESTAO E PESSOAS UA;16
16330;ASS. SEGURANCA I UA;16
16340;AUDITOR SENIOR;11
16350;COORD PROC TRAB UA;16
16360;ASS. AGRONEG II UA;17
16370;ASS. ENG ARQ II UA;17
16380;ASS. JURIDICO II UA;16
16390;ASS. SEGURANCA II UA;17
16400;AUDITOR PLENO;13
16410;ASS. JURIDICO III UA;17
16420;AUDITOR JUNIOR;15
16430;ANALISTA TEC FIN UA;18
16440;ANALISTA TEC PL UA;16
16450;ANALISTA TEC JR UA;18
16460;ASSIST OP PLENO UA;19
