CD_AGRUP_PRC,NM_AGRUP_PRC
233,NEGÓCIOS
234,"INTERCÂMBIO DE NUMERÁRIO"
235,CUSTODIA
236,"COMPLIANCE - PSV"
237,"PUBLICIDADE LEGAL"
238,"COTAÇÃO PPS"
239,"RESSARCÍVEIS BNC "
240,"PROCESSAMENTO DE DADOS "
241,"COMPLIANCE CARTÕES"
242,"ATIVOS S.A."
243,"INTERNACIONAL - 4131"
244,"TARIFA AQUISIÇÃO IMÓVEL RURAL"
245,"ATR - SERVIÇOS TÉCNICOS RURAIS"
246,"ATENDIMENTO GOVERNO "
247,NUCLEA
248,PASEP
249,"PGTO. BB-BI -SERVFIDUC"
250,"LIC FUNCI ALVARÁ DIG"
251,COMPE
